Company,Item,Category,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g
McDonalds,Sausage Biscuit (Large Size Biscuit),Breakfast,480.0,31.0,13.0,0.0,30,1190,39,3,3,11.0
McDonalds,Southern Style Chicken Biscuit (Regular Size Biscuit),Breakfast,410.0,20.0,8.0,0.0,30,1180,41,2,3,17.0
McDonalds,Southern Style Chicken Biscuit (Large Size Biscuit),Breakfast,470.0,24.0,9.0,0.0,30,1290,46,3,4,17.0
McDonalds,"Steak, Egg & Cheese Bagel",Breakfast,660.0,33.0,12.0,1.0,300,1580,56,3,7,33.0
McDonalds,"Bacon, Egg & Cheese McGriddles",Breakfast,420.0,18.0,8.0,0.0,240,1110,48,2,15,15.0
McDonalds,"Sausage, Egg & Cheese McGriddles",Breakfast,560.0,32.0,12.0,0.0,265,1360,48,2,15,20.0
McDonalds,Sausage McGriddles,Breakfast,420.0,22.0,8.0,0.0,35,1030,44,2,15,11.0
McDonalds,Big Breakfast (Regular Size Biscuit),Breakfast,740.0,48.0,17.0,0.0,555,1560,51,3,3,28.0
McDonalds,Big Breakfast (Large Size Biscuit),Breakfast,800.0,52.0,18.0,0.0,555,1680,56,4,3,28.0
McDonalds,Big Breakfast with Hotcakes (Regular Size Biscuit),Breakfast,1090.0,56.0,19.0,0.0,575,2150,111,6,17,36.0
McDonalds,Big Breakfast with Hotcakes (Large Size Biscuit),Breakfast,1150.0,60.0,20.0,0.0,575,2260,116,7,17,36.0
McDonalds,Sausage Burrito,Breakfast,300.0,16.0,7.0,0.0,115,830,26,1,2,12.0
McDonalds,McSkillet Burrito with Sausage,Breakfast,610.0,36.0,14.0,0.5,410,1390,44,3,4,27.0
McDonalds,Hotcakes,Breakfast,350.0,9.0,2.0,0.0,20,590,60,3,14,8.0
McDonalds,Hotcakes and Sausage,Breakfast,520.0,24.0,7.0,0.0,50,930,61,3,14,15.0
McDonalds,Hotcake Syrup,Extra,180.0,0.0,0.0,0.0,0,20,45,0,32,0.0
McDonalds,Whipped Margarine (1 pat),Extra,40.0,4.5,1.5,0.0,0,55,0,0,0,0.0
McDonalds,Hash Brown,Breakfast,150.0,9.0,1.5,0.0,0,310,15,2,0,1.0
McDonalds,Grape Jam,Extra,35.0,0.0,0.0,0.0,0,0,9,0,9,0.0
McDonalds,Strawberry Preserves,Extra,35.0,0.0,0.0,0.0,0,0,9,0,9,0.0
McDonalds,"Bacon, Egg & Cheese Bagel",Breakfast,560.0,27.0,9.0,0.5,260,1300,56,3,7,24.0
McDonalds,Fruit & Maple Oatmeal,Breakfast,290.0,4.5,2.0,0.0,10,160,57,5,32,5.0
McDonalds,Fruit & Maple Oatmeal without Brown Sugar,Breakfast,260.0,4.5,2.0,0.0,10,115,48,5,18,5.0
McDonalds,Hamburger Happy Meal,Kids Meal,475.0,16.0,5.5,0.0,40,690,62,2,20,22.0
McDonalds,4 Piece Chicken McNuggets Happy Meal,Kids Meal,395.0,17.0,3.5,0.0,35,510,41,1,14,19.0
McDonalds,6 Piece Chicken McNuggets Happy Meal,Kids Meal,475.0,22.0,4.5,0.0,50,680,46,2,14,24.0
McDonalds,Fruit ‘n Yogurt Parfait (7 oz),Dessert,160.0,2.0,1.0,0.0,5,85,31,1,21,4.0
McDonalds,Low Fat Caramel Dip,Extra,70.0,0.5,0.0,0.0,5,35,15,0,9,0.0
McDonalds,Vanilla Reduced Fat Ice Cream Cone,Dessert,150.0,3.5,2.0,0.0,15,60,24,0,18,4.0
McDonalds,Kiddie Cone,Dessert,45.0,1.0,0.5,0.0,5,20,8,0,6,1.0
McDonalds,Strawberry Sundae,Dessert,280.0,6.0,4.0,0.0,25,95,49,1,45,6.0
McDonalds,Hot Caramel Sundae,Dessert,340.0,8.0,5.0,0.0,30,160,60,1,44,7.0
McDonalds,Hot Fudge Sundae,Dessert,330.0,10.0,7.0,0.0,25,180,54,2,48,8.0
McDonalds,Peanuts (for Sundaes),Snack,45.0,3.5,0.5,0.0,0,0,2,1,0,2.0
